champion,kills,deaths,assists,win,role,puuid,match_id,game_duration,game_mode
Singed,0,2,5,0,TOP,bo1IR9Ul-Av9fJA-ea8u36N36Lug_zwtwifXifPj85BcF2vLjDbRXJGNbZXdt8yjNLWOV3TSxm1XFg,EUW1_7903341045,1466,CLASSIC
Elise,2,7,7,0,JUNGLE,9PZZ4PWABbOzGb9CTLCp9EgMVLWowueMTGQN26Ni5gA1xLkDSEKJOninG0S5eZqTcfKq-WwA8RgQNA,EUW1_7903341045,1466,CLASSIC
Yasuo,2,3,1,0,MIDDLE,7IXHH9QccVgP2AqzA_k00rEmM6-9Gw6p310B7WJjJVUXHWujQHJls7qXICG_AwJKQW8w1iSdyxxC_Q,EUW1_7903341045,1466,CLASSIC
Varus,10,7,1,0,BOTTOM,qLhBkbOBBdzgq60UZMLgTd0KdDGQzDQkNoNmjv82ZBptIP0yBR9-5k2ZWVDm6KcGuDQLKEj0ReFqlQ,EUW1_7903341045,1466,CLASSIC
Lulu,1,2,13,0,UTILITY,eLIOMf3HhQVp_iPjvSSQ8DhF3LtRefUjdq-FJFbvYvAVu5Gx4F_-Ovj-vC6uK1HXnKGgXFTldFVLwg,EUW1_7903341045,1466,CLASSIC
Aatrox,3,2,8,1,TOP,0mTAcOl_SZvnD2odRGzMcysn6NnfIonMIDuexcCG2Wz7jdjzA-tv2YIt4Vw1ceouJutx1bzORrSjkg,EUW1_7903341045,1466,CLASSIC
Graves,8,2,8,1,JUNGLE,GMN18vZfBrbfjD3E84TOwJdJ_8BwaaBKETQgytwziet1Z0wjJnniTvwFM6MaISDD7lz2kqEo_MOfug,EUW1_7903341045,1466,CLASSIC
Akshan,5,0,8,1,MIDDLE,ALug-_-NXcUF3uXQgCRIBOb06HEQskG0vazW2YjACzJks-XSUU6E3Wb62QiGsIurH_rJldTb0bWCvA,EUW1_7903341045,1466,CLASSIC
Ekko,3,3,6,1,BOTTOM,UMddUNV2Y0hX4RSbgkd2XwOgW-KIDyqQ2n3rWa4QXBM4YkdNbgOz7eyBD48OJpFa2WEooUEf2OkdIA,EUW1_7903341045,1466,CLASSIC
Thresh,2,8,9,1,UTILITY,kpuYHaXeAqk7R5mzLDI34npC_fCXJe3X-s7ZO-flhcepDmFdok1GOzSMJr80yzkcOFKzX7Uq-8HAHw,EUW1_7903341045,1466,CLASSIC
Ornn,1,5,2,1,TOP,rDMpQY9CLOqOQpULBzUaAbKU0JXlr51w6ZGO370VAlZRRZNzT5FX7rf83Rc8046-v3f5y_DS-zklVQ,EUW1_7903290156,1557,CLASSIC
JarvanIV,9,1,11,1,JUNGLE,o7BNaKqtwjQaBh5aLEDTIJMc0Ck4Bj1X_U5pNiuLOo89OAuy9Irdqy2zztnpe23r1o3gDW4TlniAMQ,EUW1_7903290156,1557,CLASSIC
Jax,4,3,5,1,MIDDLE,Sr4u6JXhUz0Me4hiqk5DnZhawhvnljDMWHIRUqY03-3y70tjy8QyLEpOOIrGerQ1NIu1-M5CCs7Xsg,EUW1_7903290156,1557,CLASSIC
MissFortune,9,3,7,1,BOTTOM,OPh0WsKUiEHxdYeFkqn1GpvF1iWL8alJffBMBmjOQK4Ezu9pJ6PMa1TUxvHTrk3DtTNRkOMnjmDSDg,EUW1_7903290156,1557,CLASSIC
Nautilus,2,5,16,1,UTILITY,tpVeh-GxPba5y2k3j2Chah6z_vvvyeL3l_xAVYl8tNUP_3qQ7O8TlpGnIOufUQ-hquizgsqthgqmAA,EUW1_7903290156,1557,CLASSIC
Akshan,5,2,7,0,TOP,ALug-_-NXcUF3uXQgCRIBOb06HEQskG0vazW2YjACzJks-XSUU6E3Wb62QiGsIurH_rJldTb0bWCvA,EUW1_7903290156,1557,CLASSIC
Ambessa,2,5,8,0,JUNGLE,KFXNwq6by3o3U-9aaZZPBAAVmkGdePCky-KYzv_LDLxy0hWitFagSYxUdR6a6-x5UtmBhnxf5pBVug,EUW1_7903290156,1557,CLASSIC
Ryze,3,7,7,0,MIDDLE,6s-7u5Rj92QZ4vVd3Ch3qi5sYtI1RbCwnuTY8d5jLQ_wa-2Qj-2-rGomtkRNumZtB-Fzofbf9E6y7g,EUW1_7903290156,1557,CLASSIC
Mel,5,4,1,0,BOTTOM,o_Ihy0qHx-3b6aC7FINcPDN6vC9K5c7CDGFe_gU7I2R3LflE_5ypRYTRu9pLfxUDvqcINZgqFcyv_w,EUW1_7903290156,1557,CLASSIC
Seraphine,2,7,6,0,UTILITY,FToo-iTwVWwZUt_7M0sX57cXvJZAOHP_H7tHda1rq5juThDdEhud9Tudr7Yvf8ZTduH5YfJLXPIKtA,EUW1_7903290156,1557,CLASSIC
Varus,3,11,1,0,TOP,ZZxT_3_B_Au_BNANdA6lB6ZVs3WTenymTsj0IbBB0hFiwVUte5feXV3i7KooXaa3PmEzv0TbJuDXNQ,EUW1_7902704020,1269,CLASSIC
